Kolumna1	Kolumna2	Kolumna3
 	Tablica	 
Dodawanie	 	 
 	Poczatek	 
 	rozmiar	czas
 	5000	0
 	7000	0
 	9000	0.96875
 	11000	0
 	13000	1
 	15000	0
 	17000	1
 	19000	1.46875
 	21000	2.96875
 	23000	3.4375
 	 	 
 	Koniec	 
 	rozmiar	czas
 	5000	0
 	7000	0
 	9000	0
 	11000	0
 	13000	0
 	15000	0
 	17000	0
 	19000	0
 	21000	0
 	23000	0
 	 	 
 	Losowe	 
 	rozmiar	czas
 	5000	0.5
 	7000	0.46875
 	9000	0
 	11000	0.5
 	13000	0.96875
 	15000	1.46875
 	17000	0
 	19000	0
 	21000	1
 	23000	2
 	 	 
Usuwanie	 	 
 	Poczatek	 
 	rozmiar	czas
 	5000	0
 	7000	0
 	9000	0.46875
 	11000	0.5
 	13000	0
 	15000	0.96875
 	17000	0
 	19000	1.4375
 	21000	1.96875
 	23000	2.90625
 	 	 
 	Koniec	 
 	rozmiar	czas
 	5000	0
 	7000	0
 	9000	0
 	11000	0
 	13000	0
 	15000	0
 	17000	0
 	19000	0
 	21000	0
 	23000	0
 	 	 
 	Losowe	 
 	rozmiar	czas
 	5000	0
 	7000	0
 	9000	0.46875
 	11000	0.5
 	13000	0
 	15000	0.96875
 	17000	0.96875
 	19000	1.46875
 	21000	0.9375
 	23000	0.96875
 	 	 
Wyszukiwanie	 	 
 	rozmiar	czas
 	5000	0
 	7000	0
 	9000	0
 	11000	0.5
 	13000	0.96875
 	15000	0.5
 	17000	2.4375
 	19000	0.9375
 	21000	1.5
 	23000	2.40625
 	 	 
